file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
3-medium-sized/vc013.dimacs;Command terminated by signal 11 27.06;45307;36697;1;;1;Not a VC: ;;;
3-medium-sized/vc015.dimacs;Command terminated by signal 11 14.69;53610;42940;1;;1;Not a VC: ;;;
3-medium-sized/vc017.dimacs;Command terminated by signal 11 12.62;23541;34233;1;;1;Not a VC: ;;;
3-medium-sized/vc019.dimacs;36.86;200;862;130;1749060;1;OK;;;
3-medium-sized/vc021.dimacs;Command terminated by signal 11 16.23;24765;19655;1;;1;Not a VC: ;;;
3-medium-sized/vc023.dimacs;Command terminated by signal 11 13.26;27717;133665;1;;1;Not a VC: ;;;
3-medium-sized/vc025.dimacs;16.18;23194;18295;4899;4900;1;OK;;;
3-medium-sized/vc027.dimacs;Command terminated by signal 11 19.80;65866;52435;1;;1;Not a VC: ;;;
3-medium-sized/vc029.dimacs;;13431;16234;0;;0;;;;
3-medium-sized/vc031.dimacs;Command terminated by signal 11 86.14;200;813;1;;1;Not a VC: ;;;
3-medium-sized/vc033.dimacs;;4410;6885;0;;0;;;;
3-medium-sized/vc035.dimacs;;200;864;0;;0;;;;
